sample_id,fragment_id,time,exposure,tank,genotype,final_disease_state,clone_group,resistance,reads,susceptability
T7_D_D1_B8,D_D1_B8,T7,D,D1,B8,D,clone_66,0.3089636881866898,6837,S
T7_D_D1_K2,D_D1_K2,T7,D,D1,K2,D,clone_3,0.4356333398942291,7460,S
T7_D_D1_M1,D_D1_M1,T7,D,D1,M1,D,clone_7,0.03042154565820803,12746,S
T7_D_D1_M2,D_D1_M2,T7,D,D1,M2,D,clone_9,0.3280738800080762,8908,S
T7_D_D1_M3,D_D1_M3,T7,D,D1,M3,D,clone_9,0.3903047418355598,8856,S
T7_D_D1_M5,D_D1_M5,T7,D,D1,M5,H,clone_10,0.6367881518843654,17586,R
T7_D_D1_U17,D_D1_U17,T7,D,D1,U17,D,clone_17,0.4126090663756678,16756,S
T7_D_D1_U19,D_D1_U19,T7,D,D1,U19,D,clone_18,0.4356333398942291,8268,S
T7_D_D1_U33,D_D1_U33,T7,D,D1,U33,D,clone_21,0.2732397851191928,26091,S
T7_D_D1_U37,D_D1_U37,T7,D,D1,U37,H,clone_26,0.6367881518843654,13961,R
T7_D_D1_U39,D_D1_U39,T7,D,D1,U39,D,clone_24,0.3280738800080762,16934,S
T7_D_D1_U4,D_D1_U4,T7,D,D1,U4,D,clone_32,0.4593249166781684,7796,R
T7_D_D1_U41,D_D1_U41,T7,D,D1,U41,H,clone_26,0.5267368063897103,20533,R
T7_D_D1_U42,D_D1_U42,T7,D,D1,U42,D,clone_27,0.22580210845954632,8417,S
T7_D_D1_U43,D_D1_U43,T7,D,D1,U43,H,clone_28,0.3386852215489822,14530,S
T7_D_D1_U44,D_D1_U44,T7,D,D1,U44,H,clone_29,0.2732397851191928,21910,S
T7_D_D1_U46,D_D1_U46,T7,D,D1,U46,D,clone_30,0.21157268509462895,10592,S
T7_D_D1_U5,D_D1_U5,T7,D,D1,U5,D,clone_36,0.4593249166781684,5272,R
T7_D_D1_U55,D_D1_U55,T7,D,D1,U55,D,clone_33,0.508438248490982,8072,R
T7_D_D1_U58,D_D1_U58,T7,D,D1,U58,D,clone_34,0.10674234253642308,18863,S
T7_D_D1_U65,D_D1_U65,T7,D,D1,U65,D,clone_39,0.3480109141119393,7614,S
T7_D_D1_U72,D_D1_U72,T7,D,D1,U72,H,clone_43,0.5850746003769431,10682,R
T7_D_D1_U93,D_D1_U93,T7,D,D1,U93,D,clone_46,0.3089636881866898,3622,S
T7_D_D1_U98,D_D1_U98,T7,D,D1,U98,D,clone_47,0.2906859573324436,9429,S
T7_D_D2_B10,D_D2_B10,T7,D,D2,B10,H,clone_43,0.48361904735164635,20982,R
T7_D_D2_K1,D_D2_K1,T7,D,D2,K1,H,clone_3,0.6367881518843654,6201,R
T7_D_D2_M1,D_D2_M1,T7,D,D2,M1,D,clone_7,0.03042154565820803,18131,S
T7_D_D2_M10,D_D2_M10,T7,D,D2,M10,D,clone_6,0.3280738800080762,16825,S
T7_D_D2_M5,D_D2_M5,T7,D,D2,M5,H,clone_10,0.6367881518843654,8129,R
T7_D_D2_M6,D_D2_M6,T7,D,D2,M6,D,clone_11,0.4126090663756678,8928,S
T7_D_D2_M7,D_D2_M7,T7,D,D2,M7,D,clone_98,0.3903047418355598,20641,S
