sample_id,genotype,clone_group,resistance,time,tank,reads,final_disease_state,exposure,susceptability
T7_D_D5_U39,U39,clone_24,0.3280738800080762,T7,D5,23660,D,D,S
T7_H_H5_U39,U39,clone_24,0.3280738800080762,T7,H5,4174,H,H,S
T3_D_D1_U4,U4,clone_32,0.4593249166781684,T3,D1,31598,D,D,R
T3_H_H1_U4,U4,clone_32,0.4593249166781684,T3,H1,34531,H,H,R
T7_D_D1_U4,U4,clone_32,0.4593249166781684,T7,D1,7796,D,D,R
T7_H_H1_U4,U4,clone_32,0.4593249166781684,T7,H1,2335,H,H,R
T0_F_Field_U41,U41,clone_26,0.5267368063897103,T0,Field,29941,NA,F,R
T3_D_D1_U41,U41,clone_26,0.5267368063897103,T3,D1,20609,H,D,R
T3_H_H1_U41,U41,clone_26,0.5267368063897103,T3,H1,37888,H,H,R
T7_D_D1_U41,U41,clone_26,0.5267368063897103,T7,D1,20533,H,D,R
T7_D_D3_U41,U41,clone_26,0.5267368063897103,T7,D3,9486,H,D,R
T7_H_H1_U41,U41,clone_26,0.5267368063897103,T7,H1,9595,H,H,R
T0_F_Field_U42,U42,clone_27,0.22580210845954632,T0,Field,12639,NA,F,S
T3_D_D1_U42,U42,clone_27,0.22580210845954632,T3,D1,523,D,D,S
T3_H_H1_U42,U42,clone_27,0.22580210845954632,T3,H1,549,H,H,S
T7_D_D1_U42,U42,clone_27,0.22580210845954632,T7,D1,8417,D,D,S
T7_H_H1_U42,U42,clone_27,0.22580210845954632,T7,H1,13391,H,H,S
T7_H_H4_U42,U42,clone_27,0.22580210845954632,T7,H4,16802,D,H,S
T3_D_D1_U43,U43,clone_28,0.3386852215489822,T3,D1,75678,H,D,S
T3_H_H4_U43,U43,clone_28,0.3386852215489822,T3,H4,41830,H,H,S
T7_D_D1_U43,U43,clone_28,0.3386852215489822,T7,D1,14530,H,D,S
T7_D_D5_U43,U43,clone_28,0.3386852215489822,T7,D5,9480,D,D,S
T7_H_H4_U43,U43,clone_28,0.3386852215489822,T7,H4,12969,H,H,S
T3_D_D1_U44,U44,clone_29,0.2732397851191928,T3,D1,42056,H,D,S
T3_H_H1_U44,U44,clone_29,0.2732397851191928,T3,H1,5566,H,H,S
T7_D_D1_U44,U44,clone_29,0.2732397851191928,T7,D1,21910,H,D,S
T7_D_D4_U44,U44,clone_29,0.2732397851191928,T7,D4,1123,D,D,S
T7_H_H1_U44,U44,clone_29,0.2732397851191928,T7,H1,26074,H,H,S
T0_F_Field_U46,U46,clone_30,0.21157268509462895,T0,Field,18025,NA,F,S
T3_D_D1_U46,U46,clone_30,0.21157268509462895,T3,D1,19545,D,D,S
T3_H_H1_U46,U46,clone_30,0.21157268509462895,T3,H1,71621,H,H,S
T7_D_D1_U46,U46,clone_30,0.21157268509462895,T7,D1,10592,D,D,S
T7_H_H1_U46,U46,clone_30,0.21157268509462895,T7,H1,7455,H,H,S
T7_H_H4_U46,U46,clone_30,0.21157268509462895,T7,H4,7325,D,H,S
T0_F_Field_U47,U47,clone_103,0.34801091411193924,T0,Field,14934,NA,F,S
T3_H_H4_U47,U47,clone_103,0.34801091411193924,T3,H4,21524,H,H,S
T7_H_H4_U47,U47,clone_103,0.34801091411193924,T7,H4,15145,H,H,S
T7_H_H5_U47,U47,clone_103,0.34801091411193924,T7,H5,3209,D,H,S
T3_D_D1_U5,U5,clone_36,0.4593249166781684,T3,D1,5423,D,D,R
T3_H_H4_U5,U5,clone_36,0.4593249166781684,T3,H4,32086,H,H,R
T7_D_D1_U5,U5,clone_36,0.4593249166781684,T7,D1,5272,D,D,R
T7_H_H4_U5,U5,clone_36,0.4593249166781684,T7,H4,3308,H,H,R
T3_D_D1_U55,U55,clone_33,0.508438248490982,T3,D1,26189,D,D,R
T3_H_H1_U55,U55,clone_33,0.508438248490982,T3,H1,55508,H,H,R
T7_D_D1_U55,U55,clone_33,0.508438248490982,T7,D1,8072,D,D,R
T7_H_H1_U55,U55,clone_33,0.508438248490982,T7,H1,15983,H,H,R
T0_F_Field_U58,U58,clone_34,0.10674234253642308,T0,Field,16124,NA,F,S
T3_D_D2_U58,U58,clone_34,0.10674234253642308,T3,D2,39268,D,D,S
T3_H_H1_U58,U58,clone_34,0.10674234253642308,T3,H1,22697,H,H,S
T7_D_D1_U58,U58,clone_34,0.10674234253642308,T7,D1,18863,D,D,S
