asv_id,sample_id,log2_cpm,exposure
ASV_23,T0_H_HOMO_2,13.779114993801517,H
ASV_23,T0_H_HOMO_3,13.81553208590791,H
ASV_23,T0_H_HOMO_4,14.569066818475548,H
ASV_23,T0_H_HOMO_5,14.582227411274328,H
ASV_24,T0_D_HOMO_1,11.008600950715024,D
ASV_24,T0_D_HOMO_2,11.058330364277012,D
ASV_24,T0_D_HOMO_3,11.659458775726645,D
ASV_24,T0_D_HOMO_4,10.881342316070032,D
ASV_24,T0_D_HOMO_5,8.189037586426146,D
ASV_24,T0_H_HOMO_1,8.935652456566865,H
ASV_24,T0_H_HOMO_2,9.665656934244236,H
ASV_24,T0_H_HOMO_3,8.736420583118424,H
ASV_24,T0_H_HOMO_4,8.182089636591526,H
ASV_24,T0_H_HOMO_5,5.2741049642317686,H
ASV_25,T0_D_HOMO_1,12.58790531375025,D
ASV_25,T0_D_HOMO_2,12.846863927568993,D
ASV_25,T0_D_HOMO_3,7.576605417311576,D
ASV_25,T0_D_HOMO_4,10.566794225858938,D
ASV_25,T0_D_HOMO_5,10.605077194313848,D
ASV_25,T0_H_HOMO_1,5.2741049642317686,H
ASV_25,T0_H_HOMO_2,5.274104964231766,H
ASV_25,T0_H_HOMO_3,5.2741049642317686,H
ASV_25,T0_H_HOMO_4,5.2741049642317686,H
ASV_25,T0_H_HOMO_5,9.528320681139943,H
ASV_26,T0_D_HOMO_1,10.47356551119601,D
ASV_26,T0_D_HOMO_2,10.651992835958325,D
ASV_26,T0_D_HOMO_3,8.952104815138654,D
ASV_26,T0_D_HOMO_4,5.2741049642317686,D
ASV_26,T0_D_HOMO_5,5.2741049642317686,D
ASV_26,T0_H_HOMO_1,5.2741049642317686,H
ASV_26,T0_H_HOMO_2,5.274104964231766,H
ASV_26,T0_H_HOMO_3,5.2741049642317686,H
ASV_26,T0_H_HOMO_4,5.2741049642317686,H
ASV_26,T0_H_HOMO_5,5.2741049642317686,H
ASV_27,T0_D_HOMO_1,9.960396224544912,D
ASV_27,T0_D_HOMO_2,11.634540111620234,D
ASV_27,T0_D_HOMO_3,12.168845223709834,D
